,C594
1,1
2,2
5,3
7,4
8,5
9,6
10,7
12,8
13,9
15,10
16,8
17,11
18,12
23,12
32,13
33,14
40,15
42,16
47,17
49,18
52,19
58,20
59,21
61,22
64,23
65,24
67,25
70,26
72,27
73,28
74,29
77,18
78,30
79,31
81,32
82,33
86,8
89,34
95,35
102,36
103,18
106,37
107,38
110,39
111,40
113,41
117,42
118,42
119,43
120,44
121,3
122,45
125,46
127,47
129,1
133,48
134,49
137,50
139,51
141,52
143,53
144,54
149,55
150,56
153,57
154,1
155,1
157,58
161,33
163,59
165,60
166,57
167,61
169,60
171,62
172,62
173,63
174,1
179,64
180,65
185,18
186,18
189,66
191,67
193,68
194,68
195,68
196,69
199,70
202,71
206,72
208,18
210,73
211,74
214,16
216,75
217,76
218,75
222,77
224,40
229,78
231,79
242,23
244,80
251,1
255,81
257,33
259,82
260,83
263,84
269,85
271,39
275,86
277,87
281,88
283,46
284,84
289,18
292,89
293,53
299,4
304,79
310,52
315,90
323,91
326,1
334,27
337,92
340,93
343,94
347,44
348,95
352,96
354,97
356,98
365,99
366,100
371,101
376,1
377,88
378,102
381,3
383,103
384,104
387,105
388,106
391,107
395,1
396,75
397,48
398,108
399,109
404,110
406,65
407,65
408,27
415,111
419,112
420,113
421,114
429,5
431,11
437,115
440,116
445,43
448,117
449,18
455,118
456,119
459,18
461,120
462,121
464,27
465,77
469,122
472,123
477,124
480,125
485,48
486,126
488,1
489,127
490,71
491,128
496,129
497,130
502,131
503,132
504,18
505,48
506,23
507,130
509,113
510,117
511,133
515,18
516,134
522,135
524,136
525,137
531,20
532,138
533,139
534,56
535,48
536,140
537,60
540,141
543,142
546,27
547,143
548,18
552,144
553,110
554,27
555,145
556,27
560,146
561,147
562,27
564,148
567,149
569,27
573,18
575,150
577,84
578,151
579,152
583,71
586,153
587,154
589,155
595,18
597,156
600,27
601,157
604,27
607,158
609,159
612,160
614,161
617,162
619,27
621,163
624,119
625,164
634,67
639,165
640,56
643,166
644,167
645,1
648,168
649,169
651,48
652,170
653,53
654,171
658,172
659,18
662,173
663,18
665,29
668,174
669,175
672,15
674,176
675,1
676,113
686,177
688,16
690,60
691,39
704,178
706,53
709,179
710,180
711,181
713,182
717,183
719,184
723,27
724,185
729,113
731,27
732,186
735,48
737,187
738,18
739,188
740,189
753,190
757,191
764,132
766,192
771,102
772,55
773,122
776,27
777,193
779,21
782,79
785,91
790,61
791,172
793,48
794,194
800,48
803,195
806,196
807,197
809,198
811,123
812,109
817,69
819,199
824,200
825,201
827,202
829,203
830,56
831,204
833,205
835,67
836,206
842,133
843,207
848,48
851,48
852,208
857,13
859,209
860,210
869,211
871,130
874,212
876,200
879,213
881,214
883,48
884,215
885,216
893,13
896,217
897,218
899,48
900,219
902,49
904,220
905,135
906,221
909,222
910,223
914,224
916,27
917,225
928,74
929,26
930,226
934,227
944,27
947,228
949,27
951,110
953,229
955,27
958,230
960,231
961,27
964,149
965,89
972,153
976,232
980,233
981,89
987,153
989,234
994,235
995,139
1005,213
1007,236
1011,237
1016,238
1020,27
1021,27
1022,139
1024,180
1025,157
1026,239
1027,48
1028,240
1029,27
1030,241
1032,242
1034,27
1035,171
1036,243
1037,149
1038,27
1039,244
1041,245
1042,246
1044,81
1045,247
1046,248
1048,233
1053,249
1056,162
1059,100
1060,159
1062,132
1064,241
1066,250
1068,251
1070,171
1071,252
1072,253
1074,254
1077,255
1079,256
1080,257
1083,149
1085,258
1087,254
1088,259
1089,255
1090,260
1092,261
1093,244
1094,262
1095,263
1097,175
1098,172
1100,264
1101,27
1105,250
1106,265
1109,266
1110,220
1112,87
1114,267
1116,268
1118,269
1119,270
1120,271
1121,18
1124,272
1125,13
1128,273
1133,274
1141,171
1143,149
1144,275
1146,276
1147,277
1148,194
1150,1
1151,278
1154,279
1155,280
1161,18
1164,207
1165,281
1166,282
1168,283
1169,134
1170,284
1172,285
1175,103
1176,27
1177,286
1181,162
1186,253
1188,144
1189,29
1191,53
1196,23
1198,230
1199,231
1202,253
1204,199
1206,287
1207,135
1208,198
1209,200
1210,278
1211,29
1213,121
1214,13
1216,288
1217,18
1223,176
1225,56
1228,105
1229,289
1231,216
1232,4
1233,281
1234,101
1237,290
1238,291
1240,292
1243,293
1248,132
1250,1
1252,130
1255,128
1261,154
1265,294
1268,295
1270,49
1272,202
1273,48
1275,296
1276,13
1282,18
1283,297
1284,145
1287,247
1292,298
1296,299
1298,214
1306,122
1308,300
1309,173
1312,27
1313,18
1316,138
