,C821
3,1
4,2
6,3
11,4
14,5
15,4
18,6
19,5
20,7
21,8
22,9
23,6
24,10
25,11
26,12
28,13
31,14
36,15
37,16
38,17
39,17
41,18
43,19
44,20
45,21
46,22
48,23
50,24
51,25
54,20
56,26
59,27
60,28
62,29
66,30
67,31
68,32
71,33
74,34
78,35
84,3
85,8
87,7
88,36
90,37
91,38
92,39
94,40
96,41
97,42
98,20
99,43
109,19
112,44
114,45
115,46
116,47
119,48
123,49
124,50
129,51
130,52
131,53
132,54
134,55
135,56
136,57
140,58
142,59
143,60
145,61
146,62
147,63
148,40
149,64
150,65
151,66
152,67
155,51
158,68
162,69
163,70
164,71
167,72
173,73
175,74
177,10
178,75
181,76
183,77
184,78
185,25
187,79
188,80
190,18
192,13
196,81
197,51
198,82
200,83
201,84
203,85
206,86
207,87
209,88
213,89
214,76
216,34
217,63
219,90
220,91
221,92
222,86
223,93
225,94
226,95
227,96
230,49
232,10
235,15
236,97
237,24
241,98
243,99
245,63
246,100
248,101
249,102
250,103
251,104
252,20
254,105
256,106
259,107
261,108
262,109
264,110
265,96
266,111
267,112
268,113
276,6
277,114
278,115
279,76
280,96
282,98
284,56
286,116
287,117
289,102
290,118
291,25
292,119
295,37
296,37
297,120
298,121
300,107
301,122
302,63
304,123
305,124
306,125
309,126
311,127
312,128
313,112
314,63
317,55
318,121
319,129
322,130
325,15
327,20
329,131
334,132
335,133
338,134
339,56
341,112
342,102
344,135
345,136
346,137
349,138
350,139
355,67
357,140
358,141
360,142
361,143
363,144
367,20
368,145
369,146
372,23
373,71
375,147
377,148
378,149
382,82
385,45
386,150
390,151
392,152
394,153
396,34
397,34
398,67
400,154
402,86
405,155
406,156
408,63
410,102
411,157
412,158
413,50
414,159
417,160
421,43
422,161
423,162
424,25
425,11
426,163
427,67
428,164
430,165
432,166
433,45
434,167
435,162
436,168
437,169
439,77
442,126
443,170
446,20
447,171
450,102
451,167
452,172
453,172
454,83
456,173
457,63
458,174
460,175
465,86
468,176
470,122
471,177
473,63
474,178
476,102
478,179
481,21
482,180
483,86
484,160
487,181
488,51
495,182
498,183
499,184
500,185
503,173
505,21
508,186
511,167
512,187
518,188
519,189
521,103
528,190
530,10
534,65
537,20
538,191
540,192
541,193
542,25
544,194
545,195
549,20
550,63
551,63
554,63
555,142
557,196
558,197
559,20
560,198
563,199
565,200
566,20
570,23
571,201
576,56
580,53
581,202
590,203
591,204
593,167
594,102
595,102
597,205
598,206
599,207
602,208
603,209
604,63
605,210
606,211
610,212
611,213
613,214
615,215
616,216
618,217
620,21
621,218
622,148
623,219
624,173
626,220
