source,target,value
5,5,5
5,381,1
5,466,1
5,999,2
5,2137,1
5,2390,2
5,2951,1
5,3047,1
5,3696,1
5,6482,1
5,7545,1
27,27,1
27,3696,1
27,4400,1
27,5012,1
29,29,1
30,30,1
30,3377,1
34,34,2
34,582,1
34,915,1
34,1331,2
34,1334,1
34,3500,1
35,35,1
35,1907,1
53,53,1
53,769,1
53,1372,1
53,1987,1
53,2654,1
55,55,1
55,1201,1
55,4845,1
57,57,1
57,1051,1
63,63,2
63,1515,1
63,1854,2
63,2213,1
69,69,1
69,1391,1
69,4390,1
69,5240,1
75,75,1
75,4988,1
75,6547,1
76,76,1
76,3435,1
76,4175,1
76,5036,1
80,80,1
80,2116,1
80,5508,1
83,83,1
83,233,1
83,1757,1
83,4058,1
93,93,1
93,780,1
93,3063,1
100,100,3
100,5323,3
100,7436,3
101,101,1
101,3538,1
101,4196,1
101,4612,1
104,104,1
104,866,1
105,105,1
105,285,1
105,4342,1
108,108,1
108,2887,1
126,126,7
126,444,1
126,1194,1
126,1563,2
126,1599,2
126,2036,2
126,2105,1
126,2156,1
126,2838,1
126,3796,1
126,4074,2
126,4350,1
126,4475,1
126,4529,1
126,4711,2
126,4883,1
126,5655,1
126,5701,1
126,5854,1
126,6494,1
126,6566,2
126,6789,1
128,128,1
128,2517,1
128,4232,1
128,5569,1
138,138,2
138,892,1
138,1369,1
138,4908,2
156,156,1
156,176,1
156,1444,1
156,2512,1
156,2513,1
156,4533,1
159,159,1
159,353,1
159,1591,1
160,160,1
160,1652,1
168,168,1
168,1423,1
168,6140,1
170,170,1
170,2898,1
170,3680,1
170,4009,1
170,5224,1
170,6153,1
170,6671,1
176,156,1
176,176,1
176,1444,1
176,2512,1
176,2513,1
176,4533,1
182,182,1
182,1391,1
182,1762,1
204,204,1
204,479,1
204,1593,1
204,3336,1
204,3546,1
205,205,1
205,4363,1
205,4727,1
212,212,1
212,993,1
212,1865,1
215,215,1
215,663,1
223,223,1
223,5931,1
223,7570,1
228,228,1
228,1499,1
228,2537,1
228,2598,1
228,6485,1
233,83,1
233,233,1
233,1757,1
233,4058,1
234,234,2
234,3548,1
238,238,1
238,4808,1
238,6140,1
239,239,3
239,4371,1
239,5611,1
239,5625,1
239,5653,1
240,240,1
240,1173,1
240,7081,1
247,247,1
247,1194,1
247,4396,1
253,253,3
253,517,2
